# Добавить сюда своих вопросов. Эту строку надо пропустить при настройке CsvToBean (withSkipLines)
Is there life on Mars?;Science doesn't know this yet%true|Certainly. The red UFO is from Mars. And green is from Venus%false|Absolutely not%false
How should resources be loaded form jar in Java?;ClassLoader#geResourceAsStream or ClassPathResource#getInputStream%true|ClassLoader#geResource#getFile + FileReader%false|Wingardium Leviosa%false
Which option is a good way to handle the exception?;@SneakyThrow%false|e.printStackTrace()%false|Rethrow with wrapping in business exception (for example, QuestionReadException)%true|Ignoring exception%false
What is the capital of Japan?;Seoul%false|Beijing%false|Kyoto%false|Tokyo%true
Which keyword is used to define a constant variable in Java?;const%false|static%false|final%true|constant%false
What does SQL stand for?;Structured Query Language%true|Simple Question Line%false|Standard Query Limit%false|Structured Question Language%false
Which of these is NOT a valid Python data structure?;list%false|tuple%false|array%true|dict%false
What is the main purpose of Git?;To deploy applications to production%false|To track changes in source code during software development%true|To manage database schemas%false|To compile code into executable binaries%false
What is a common symptom of "infinite loop"?;The program prints "Hello World" once%false|The program consumes 100% CPU and stops responding%true|The program throws a NullPointerException%false|The computer automatically turns off%false
According to internet lore, what is the answer to the Ultimate Question of Life, the Universe, and Everything?;42%true|Peace%false|Love%false|To be or not to be%false
